"","GOBP_ANTEROGRADE_AXONAL_TRANSPORT","GOBP_AXON_DEVELOPMENT","GOBP_AXONAL_TRANSPORT","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","REACTOME_NEUREXINS_AND_NEUROLIGINS","REACTOME_NEURONAL_SYSTEM","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"PCMT1",6.52116762703343e-27,3.51162716423233e-15,1.53706831003161e-38,0.000237980984553865,8.42341823741145e-12,1.80621675883851e-06,4.17280789367e-12,7.59896385970356e-22,1.72155020538253e-14,3.73373065377835e-06,1.08888847731759e-18
"PCMTD1",0.200420922838097,0.0289459660309691,0.0454479660004641,0.0434178243890692,0.176415820899089,0.000754996131541849,0.0154626262631259,0.319494031027919,0.433904628145534,0.000147634899444959,0.155837204704218
"PCMTD2",0.0124013768803879,1.10945051043026e-05,0.038740714723339,0.0815064282777277,0.0897771861535495,0.000565910626684067,2.47225507170838e-05,0.000197377166221576,0.0005057365169957,0.000348561716748198,5.43649704453496e-05
