"","GOBP_ANTEROGRADE_AXONAL_TRANSPORT","GOBP_AXON_DEVELOPMENT","GOBP_AXONAL_TRANSPORT","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","REACTOME_NEUREXINS_AND_NEUROLIGINS","REACTOME_NEURONAL_SYSTEM","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"PCMT1",3.21455244485558e-114,3.60006965139461e-54,4.60120588267559e-179,1.24142017702435e-32,9.97251218058412e-20,2.45931553417013e-44,5.99664632750852e-77,3.01253912906181e-105,4.62174830085771e-91,2.14848898736858e-50,8.57988336883289e-98
"PCMTD1",0.00224326135132094,1.27648922177114e-19,0.624778690821547,1.06546459201361e-20,0.686243572530564,0.786034971153734,0.410116009522292,0.727727720928192,0.00049437857376278,0.166999876906443,0.645062576959148
"PCMTD2",2.59117431943382e-12,1.68713771781687e-25,1.355520243214e-05,1.92506408953988e-21,3.61868584778182e-08,0.108088446306113,0.303444292078862,0.376908449366501,0.045055787061481,0.881734195338745,0.54751127628893
