"","GOBP_ANTEROGRADE_AXONAL_TRANSPORT","GOBP_AXON_DEVELOPMENT","GOBP_AXONAL_TRANSPORT","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","REACTOME_NEUREXINS_AND_NEUROLIGINS","REACTOME_NEURONAL_SYSTEM","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"PCMT1",0.39661602765051,-0.0487219676874849,0.556418294349329,-0.375174825174825,0.152986094365405,-0.576376497066152,-0.36707660155936,-0.135624145968974,0.000952495780081987,-0.528084559119042,-0.174037456796077
"PCMTD1",0.413849369021783,0.383333333333333,0.621581866409453,-0.422458001768347,0.294437746161884,-0.463740856844305,-0.308632746563781,-0.0270114942528736,0.120122980467808,-0.405731050558637,-0.100707338638373
"PCMTD2",0.304103367896471,0.363170163170163,0.553404067197171,-0.4495337995338,0.250639016156258,-0.455369343300378,-0.38121533638775,-0.146969696969697,0.1153162929025,-0.434362189534603,-0.197737320151113
