"","GOBP_ANTEROGRADE_AXONAL_TRANSPORT","GOBP_AXON_DEVELOPMENT","GOBP_AXONAL_TRANSPORT","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","REACTOME_NEUREXINS_AND_NEUROLIGINS","REACTOME_NEURONAL_SYSTEM","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"PCMT1",0.789023868221449,0.603859794173321,0.886028869993535,0.484275607771615,0.380077933568937,0.555143622722657,0.691714897954971,0.769412799655832,0.733863787844336,0.58611374048375,0.751486787691396
"PCMTD1",-0.13222238985386,-0.379038909640942,0.0212522912203076,-0.389324983524413,0.0175537422116043,-0.011796751075705,-0.0357842008589381,0.0151289279898318,0.15053374205699,-0.0600004638428519,0.0200160145331051
"PCMTD2",-0.297229463457352,-0.431193017363901,-0.187404387204217,-0.396206913123429,-0.235998062698961,0.0697447501477005,-0.0446989098019319,-0.0383853869417717,0.0869301278126151,0.00646518831501752,-0.0261350740670164
