"","GOBP_ANTEROGRADE_AXONAL_TRANSPORT","GOBP_AXON_DEVELOPMENT","GOBP_AXONAL_TRANSPORT","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","REACTOME_NEUREXINS_AND_NEUROLIGINS","REACTOME_NEURONAL_SYSTEM","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"PCMT1",0.717497858335415,0.567325890078624,0.807652411013307,0.284922540190612,0.503624952544664,0.364890249392783,0.509953271489681,0.662702293803921,0.555360794624598,0.354311061432961,0.62154563968381
"PCMTD1",0.101119028566348,-0.171662002283501,0.157410582857369,-0.15890092737252,0.106736046720042,-0.262064945713919,-0.189975175037858,-0.0787017631509496,-0.061901515889246,-0.293830735815265,-0.112019995455578
"PCMTD2",-0.196066393719101,-0.337694284613463,-0.162570336216642,-0.137279641414077,-0.13373160532403,-0.267961403464204,-0.324828772681533,-0.288447995303157,-0.270225146458809,-0.277583722502368,-0.311582206754253
