"dataset","gene","gene_id","control_n","als_n","control_median","als_median","median_difference_ALS_minus_control","wilcox_pvalue","note","wilcox_padj_BH_within_dataset"
"GSE234297_Peripheral_Blood","PCMT1","5110",48,96,7.02161192245192,7.06257003448598,0.040958112034061,0.485718913309817,"OK",0.485718913309817
"GSE234297_Peripheral_Blood","PCMTD1","115294",48,96,5.90402199382682,6.1451321482108,0.24111015438398,0.0137266964622281,"OK",0.0411800893866844
"GSE234297_Peripheral_Blood","PCMTD2","55251",48,96,5.9235283571482,6.09528572992596,0.17175737277776,0.103213273616225,"OK",0.154819910424337
