"symbol","gene_id","log2FoldChange","pvalue","padj"
"PCMT1","ENSG00000120265.17",0.262223319226448,0.00171243448114214,0.00809192394004284
"PCMTD1","ENSG00000168300.14",0.409845917834457,2.02404299978245e-11,1.54376948446654e-09
"PCMTD2","ENSG00000203880.12",0.265877348495904,1.110559951353e-05,0.000107167013356337
