"dataset","gene","gene_id","control_n","als_n","control_median","als_median","median_difference_ALS_minus_control","wilcox_pvalue","note","wilcox_padj_BH_within_dataset"
"GSE153960_ALS_Spectrum_MND","PCMT1","ENSG00000120265.17",90,442,10.0853496673001,10.4165748958048,0.331225228504717,0.000713731530318007,"OK",0.000713731530318007
"GSE153960_ALS_Spectrum_MND","PCMTD1","ENSG00000168300.14",90,442,9.84828856821437,10.2296211962457,0.381332628031283,9.83214123336936e-10,"OK",2.94964237001081e-09
"GSE153960_ALS_Spectrum_MND","PCMTD2","ENSG00000203880.12",90,442,9.9734646069057,10.0956901437595,0.122225536853842,6.52797247695912e-05,"OK",9.79195871543868e-05
