"dataset","gene","gene_id","control_n","als_n","control_median","als_median","median_difference_ALS_minus_control","wilcox_pvalue","note","wilcox_padj_BH_within_dataset","wilcox_padj_BH_all_tests"
"GSE234297_Peripheral_Blood","PCMT1","5110",48,96,7.02161192245192,7.06257003448598,0.040958112034061,0.485718913309817,"OK",0.485718913309817,0.485718913309817
"GSE234297_Peripheral_Blood","PCMTD1","115294",48,96,5.90402199382682,6.1451321482108,0.24111015438398,0.0137266964622281,"OK",0.0411800893866844,0.0247080536320106
"GSE234297_Peripheral_Blood","PCMTD2","55251",48,96,5.9235283571482,6.09528572992596,0.17175737277776,0.103213273616225,"OK",0.154819910424337,0.132702780363717
"GSE124439_Cortex","PCMT1","PCMT1",17,145,11.2773718533342,11.4656539002772,0.188282046942978,0.121962489086534,"OK",0.121962489086534,0.137207800222351
"GSE124439_Cortex","PCMTD1","PCMTD1",17,145,10.3187942643266,10.5027465260548,0.183952261728145,0.0137126195310608,"OK",0.0411378585931825,0.0247080536320106
"GSE124439_Cortex","PCMTD2","PCMTD2",17,145,10.2557820894057,10.3200882163494,0.0643061269436966,0.0892046982595087,"OK",0.121962489086534,0.132702780363717
"GSE153960_ALS_Spectrum_MND","PCMT1","ENSG00000120265.17",90,442,10.0853496673001,10.4165748958048,0.331225228504717,0.000713731530318007,"OK",0.000713731530318007,0.00214119459095402
"GSE153960_ALS_Spectrum_MND","PCMTD1","ENSG00000168300.14",90,442,9.84828856821437,10.2296211962457,0.381332628031283,9.83214123336936e-10,"OK",2.94964237001081e-09,8.84892711003243e-09
"GSE153960_ALS_Spectrum_MND","PCMTD2","ENSG00000203880.12",90,442,9.9734646069057,10.0956901437595,0.122225536853842,6.52797247695912e-05,"OK",9.79195871543868e-05,0.00029375876146316
